text,label
Happiness (1998),1
Inkspell (Inkworld  #2),0
"Ghost and Mrs. Muir, The (1947)",1
Relax... It's Just Sex (1998),1
Angus (1995),1
"Last Emperor, The (1987)",1
Pee-wee's Big Adventure (1985),1
Rape: A Love Story,0
Christmas Vacation (1989),1
Blackberry Wine,0
To Die For (1995),1
Worlds Enough and Time (Worlds #3),0
De profundis,0
Adios Hemingway,0
The Complete Poems,0
The War,0
Molly (1999),1
"Big Lebowski, The (1998)",1
What Is the What,0
Battlefield Earth (2000),1
Two if by Sea (1996),1
The Little Friend,0
Friends  Lovers  Chocolate (Isabel Dalhousie  #2),0
Pitch Black (2000),1
Dolores Claiborne (1994),1
Brief Encounter (1946),1
What Went Wrong? The Clash Between Islam & Modernity in the Middle East,0
"Celebration, The (Festen) (1998)",1
"400 Blows, The (Les Quatre cents coups) (1959)",1
Dangerous Ground (1997),1
Still Breathing (1997),1
Gabriel García Márquez: One Hundred Years of Solitude,0
West Beirut (West Beyrouth) (1998),1
South of the Border  West of the Sun,0
The Maiden (The Morland Dynasty  #8),0
The Comparative Study of Political Elites,0
Child of the Prophecy (Sevenwaters  #3),0
Grand Hotel (1932),1
The Feynman Lectures on Physics Vol 3,0
A Changeling for All Seasons (Changeling Seasons #1),0
Humboldt's Gift,0
"Little Shop of Horrors, The (1960)",1
"Jerky Boys, The (1994)",1
Gilliam on Gilliam (Directors on Directors),0
Enchanted Evening,0
Mr. Nice Guy (1997),1
Chushingura (1962),1
Hannibal's Children,0
Difficult Conversations: How to Discuss What Matters Most,0
Apt Pupil (1998),1
A House Like a Lotus (O'Keefe Family  #3),0
"Nightmare on Elm Street 4: The Dream Master, A (1988)",1
Discovering Great Artists: Hands-On Art for Children in the Styles of the Great Masters,0
Chasing The Falconers (On The Run  #1),0
On the Ropes (1999),1
Keeping Faith: Memoirs of a President,0
Letters from the Bay of Islands: The Story of Marianne Williams,0
Screamers (1995),1
"Razor's Edge, The (1984)",1
Angels & Demons (Robert Langdon  #1),0
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),0
My Movie Business,0
Train Ride to Hollywood (1978),1
Jeeves in the Offing (Jeeves  #12),0
Strangeland (1998),1
The Adventures of Huckleberry Finn,0
The Hermeneutical Spiral: A Comprehensive Introduction to Biblical Interpretation,0
Beloved (1998),1
SantaKid,0
Gordy (1995),1
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),1
Star Trek III: The Search for Spock (1984),1
Things Change (1988),1
Schlafes Bruder (Brother of Sleep) (1995),1
"Death in the Garden (Mort en ce jardin, La) (1956)",1
"Devil's Advocate, The (1997)",1
Macbeth,0
Creepshow 2 (1987),1
Hugo Pool (1997),1
Vibes (1988),1
Perilous Power: The Middle East & US Foreign Policy,0
"Dancer, Texas Pop. 81 (1998)",1
Surf Nazis Must Die (1987),1
Augustine: A Very Short Introduction,0
Young Guns (1988),1
Master of Swords (Mageverse #4),0
Photographer (Fotoamator) (1998),1
Airplane! (1980),1
Police Academy 4: Citizens on Patrol (1987),1
Stand and Deliver (1987),1
The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,0
Meatballs III (1987),1
Year of Living Dangerously (1982),1
"Star Is Born, A (1937)",1
Tearing the Silence: On Being German in America,0
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1
Accidental Empires,0
More Plums in One (Stephanie Plum  #4-6),0
Prerokbe Ognja (1995),1
"NeverEnding Story III, The (1994)",1
James and the Giant Peach,0
Heather The Violet Fairy (Rainbow Magic  #7),0
Risky Business (1983),1
The Out-of-Sync Child Has Fun: Activities for Kids with Sensory Integration Dysfunction,0
The Subtle Knife (His Dark Materials  #2),0
In the Company of Men (1997),1
Peter Pan in Kensington Gardens / Peter and Wendy,0
"Great Day in Harlem, A (1994)",1
Blood on the Sun (1945),1
Benny & Joon (1993),1
Shakes the Clown (1991),1
The Picture of Dorian Gray,0
Hemingway & Bailey's Bartending Guide to Great American Writers,0
らんま½ 12,0
Near Dark (1987),1
Architecture and Tourism: Perception  Performance and Place,0
Cat Ballou (1965),1
Stefano Quantestorie (1993),1
Meditations on First Philosophy,0
Beat the Devil (1954),1
Focus: The Future of Your Company Depends on It,0
Tarzan the Fearless (1933),1
"Crude Oasis, The (1995)",1
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",1
How to be Idle,0
In the Forests of the Night,0
Bad Taste (1987),1
Miller's Crossing (1990),1
The Cave,0
In the Beginning: The Story of the King James Bible and How it Changed a Nation  a Language  and a Culture,0
Psycho II (1983),1
Romancing the Stone (1984),1
The Reluctant Reformer,0
Premières Histoires,0
"Hollywood Knights, The (1980)",1
Stephen King from A to Z: An Encyclopedia of His Life and Work,0
Guy (1996),1
The Chronicles of Narnia CD Box Set,0
Fresh (1994),1
Bandit Queen (1994),1
Body Snatchers (1993),1
"Terminator, The (1984)",1
"Love Bewitched, A (El Amor Brujo) (1986)",1
Torso (Corpi Presentano Tracce di Violenza Carnale) (1973),1
Rock 'n' Roll,0
Experience,0
Happy Gilmore (1996),1
The Odes,0
Trading Places (1983),1
Wishmaster (1997),1
Six-String Samurai (1998),1
Charade,0
Next: The Future Just Happened,0
Man of the Year (1995),1
"Bamba, La (1987)",1
Get Out of Your Mind and Into Your Life: The New Acceptance and Commitment Therapy,0
April Fool's Day (1986),1
McSweeney's #24,0
Queen of the Underworld,0
A Brief History of Time,0
A Hunger Like No Other (Immortals After Dark  #1),0
Excursion to Tindari (Inspector Montalbano #5),0
Gremlins 2: The New Batch (1990),1
BFF*: Just As Long As We're Together / Here's to You  Rachel Robinson (*Best Friends Forever),0
Howling II: Your Sister Is a Werewolf (1985),1
Dracula (1958),1
"Very Brady Sequel, A (1996)",1
"Outsiders, The (1983)",1
The MacGregors: Alan & Grant (The MacGregors  #3-4),0
Hot Shots! Part Deux (1993),1
Lolita (1997),1
"Postman Always Rings Twice, The (1981)",1
Fled (1996),1
Where Eagles Dare (1969),1
Reservoir Dogs (1992),1
"Amazing Panda Adventure, The (1995)",1
Paradise Lost: The Child Murders at Robin Hood Hills (1996),1
Austin Powers: The Spy Who Shagged Me (1999),1
The Zürau Aphorisms,0
Rosemary's Baby (1968),1
Dinner with Anna Karenina,0
Montaillou: The Promised Land of Error,0
The Maytrees,0
Barron's Book Notes: Lord of the Flies,0
Healing Therapies for Overcoming Insomnia,0
Angels & Insects,0
"Shaggy Dog, The (1959)",1
The Screwtape Letters,0
Faust  Part Two,0
"Paris, France (1993)",1
Robbins and Cotran Review of Pathology,0
Commandments (1997),1
Glamorama,0
Being There (1979),1
Falling in Love Again (1980),1
Vicars of Christ: A History of the Popes,0
Breathing Lessons,0
8 Heads in a Duffel Bag (1997),1
Sabbath's Theater,0
Airport '77 (1977),1
Mistral's Kiss (Merry Gentry  #5),0
Night Shift,0
Wait Till Next Year: The Story of a Season When What Should've Happened Didn't  and What Could've Gone Wrong Did,0
Phantom Love (Ai No Borei) (1978),1
Infinity (1996),1
Traumjäger und Goldpfote,0
Fabulous Small Jews,0
A Man Rides Through (Mordant's Need  #2),0
This Is Spinal Tap (1984),1
Tora! Tora! Tora! (1970),1
Losing Isaiah (1995),1
August (1996),1
Stable Strategies and Others,0
Missing Persons and Mistaken Identities: Women and Gender in Ancient Israel,0
Vinyl Cafe Odd Jobs,0
Devilish,0
"Silence of the Lambs, The (1991)",1
Saludos Amigos (1943),1
Superman (1978),1
"Dinner Game, The (Le Dîner de cons) (1998)",1
The Enemy (Jack Reacher  #8),0
Hatchet For the Honeymoon (Rosso Segno Della Follia) (1969),1
For Her Own Good: Two Centuries of the Experts' Advice to Women,0
Ten Benny (1997),1
Brideshead Revisited,0
Starship Troopers,0
Help! (1965),1
"Night Visitor, The (1970)",1
Windows (1980),1
"Great Muppet Caper, The (1981)",1
Maison Ikkoku  Volume 14 (Maison Ikkoku  #14),0
Lolita,0
How to Be Alone,0
Where the Sidewalk Ends: Poems and Drawings,0
Killing Floor (Jack Reacher  #1),0
Demon Diary  Volume 02,0
How to Write a Damn Good Mystery: A Practical Step-by-Step Guide from Inspiration to Finished Manuscript,0
The Secret of the Old Clock (Nancy Drew Mystery Stories  #1),0
Requiem for a Dream (2000),1
House of Frankenstein (1944),1
Invitation to a Beheading,0
Wonderland (1997),1
Jimmy Stewart: Bomber Pilot,0
Moo,0
He Sees You When You're Sleeping,0
My Name Is Joe (1998),1
Hawkes Harbor,0
Prizzi's Honor (1985),1
Homeward Bound II: Lost in San Francisco (1996),1
Long Day's Journey into Night,0
Missing in Action 2: The Beginning (1985),1
Grosse Pointe Blank (1997),1
No More Dead Dogs,0
The Origin of Species,0
The Communist Manifesto and Other Revolutionary Writings: Marx  Marat  Paine  Mao  Gandhi  and Others,0
Space Cowboys (2000),1
Sometimes a Great Notion,0
Revolutionary Girl Utena  Vol. 4: To Bud,0
Downhill (1927),1
Foundation and Earth (Foundation #5),0
Fugitive Pieces,0
St. Elmo's Fire (1985),1
Imperial Life in the Emerald City: Inside Iraq's Green Zone,0
Lake Placid (1999),1
Baby... Secret of the Lost Legend (1985),1
A Break with Charity: A Story about the Salem Witch Trials,0
Aladdin (1992),1
Hard-Boiled (Lashou shentan) (1992),1
Air Gear  Vol. 4 (Air Gear  #4),0
Mindfulness for Beginners,0
"Velocity of Gary, The (1998)",1
The Georgics of Virgil,0
The Liars' Club,0
"In Crowd, The (2000)",1
Urban Legends: Final Cut (2000),1
Remind Me Again Why I Need A Man,0
Outsider,0
Bleach  Volume 01,0
"Henry and June: From ""A Journal of Love"": The Unexpurgated Diary of Anaïs Nin  1931-1932",0
Bullets Over Broadway (1994),1
The Complete Stories and Poems,0
Die Geisha,0
Teacher's Pet (Wild at Heart  #7),0
Plays 1: The Real Inspector Hound / After Magritte / Dirty Linen / New-Found-Land / Dogg's Hamlet  Cahoot's Macbeth,0
"Kid, The (2000)",1
Romanee Conti: The World's Most Fabled Wine,0
Solas (1999),1
Slowness,0
Mary Reilly (1996),1
The Hobbit,0
Fables  Vol. 3: Storybook Love,0
The Illustrated Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,0
The Goon Show  Volume 4: My Knees Have Fallen Off!,0
Strangers on a Train (1951),1
Arcadia,0
Kiffe Kiffe Tomorrow,0
Godslayer (The Sundering  #2),0
Slaves to the Underground (1997),1
Of Human Bondage (1934),1
Fantastic Voyage (1966),1
The Midwife's Apprentice,0
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),0
More Classic Italian Cooking,0
Media Unlimited: How the Torrent of Images & Sounds Overwhelms Our Lives,0
Black Sun Rising (The Coldfire Trilogy  #1),0
Stiff Upper Lips (1998),1
Blues for Mister Charlie,0
Herzog on Herzog,0
The Deming Management Method,0
El amor en los tiempos del cólera,0
Moby-Dick,0
The Penelopiad,0
Music in the Night (Logan  #4),0
The Wonderful Story Of Henry Sugar and Six More,0
Cloak and Dagger (Tom Clancy's Net Force Explorers  #17),0
A Mortal Bane (Magdalene La Batarde  #1),0
Girl in the Shadows (Shadows  #2),0
Peter Pan,0
That's Life! (1986),1
War and Remembrance (The Henry Family  #2),0
La máquina de follar,0
"Letter From Death Row, A (1998)",1
Catfish in Black Bean Sauce (2000),1
The Inner Sanctum,0
Lawrence of Arabia (1962),1
Baraka (1992),1
The Shadow of the Wind (The Cemetery of Forgotten Books  #1),0
When Food Is Love: Exploring the Relationship Between Eating and Intimacy,0
Theory of Colours,0
Batman Forever (1995),1
"Women, The (1939)",1
Amityville: A New Generation (1993),1
Outrageous Fortune (1987),1
Lego Star Wars: Prima Official Game Guide,0
The Active Side of Infinity,0
PHP and MySQL Web Development (Developer's Library),0
Murder at 1600 (1997),1
"Net, The (1995)",1
Solaris (Solyaris) (1972),1
Salamandastron (Redwall  #5),0
Children of Paradise (Les enfants du paradis) (1945),1
In the Name of the Father (1993),1
Nothing Personal (1995),1
"Browning Version, The (1994)",1
East Palace West Palace (Dong gong xi gong) (1997),1
North by Northwest (1959),1
Science Fiction Treasury: Six Complete Novels (complete & unabridged),0
October Sky (1999),1
Kesey's One Flew Over the Cuckoo's Nest (Cliffs Notes),0
Illtown (1996),1
Them: Adventures with Extremists,0
King Kong Lives (1986),1
Once Upon a Time in America (1984),1
Interfictions: An Anthology of Interstitial Writing,0
Trial by Fire (Newpointe 911 #4),0
Tampopo (1986),1
Fried Green Tomatoes (1991),1
The Nicomachean Ethics,0
Thirteen Moons,0
Repulsion (1965),1
Judy Moody Saves the World! (Judy Moody #3),0
Liar's Poker: A Harry Garnish Mystery,0
"Pyromaniac's Love Story, A (1995)",1
Cliffsnotes on Eliot's Middlemarch,0
Michael Smith Elements of Style,0
Bride of Re-Animator (1990),1
"Alley Cats, The (1968)",1
Mixed Nuts (1994),1
"Man with Two Brains, The (1983)",1
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,0
Spooks: The Haunting of America: The Private Use of Secret Agents,0
Firebirds Rising: An Anthology of Original Science Fiction and Fantasy,0
Mutants & Masterminds: RPG,0
American Strays (1996),1
"Good Earth, The (1937)",1
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",1
Political Philosophy: A Beginner's Guide for Students and Politicians,0
Icy Sparks,0
Son of Frankenstein (1939),1
Soft Fruit (1999),1
The Cross From A Distance: Atonement In Mark's Gospel,0
High Rhulain (Redwall  #18),0
Remembrance of Things Past (Boxed Set),0
Piranha (1978),1
"Blair Witch Project, The (1999)",1
Shane (1953),1
"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",1
A Walk to Remember,0
The Human Stain (The American Trilogy  #3),0
Wayne's World (1992),1
Dates from Hell,0
Speeches and Writings 1832–1858,0
Wide Awake (1998),1
The Sillymarillion: An Unauthorized Parody of J.R.R. Tolkien's Classic the Silmarillion,0
Inner Circle (Carol Ashton Mysteries  #8),0
Best of London (Lonely Planet Best Of),0
Fluke: Or  I Know Why the Winged Whale Sings,0
Sherlock Holmes: The Complete Novels and Stories  Volume I,0
"Farmer's Wife, The (1928)",1
Ridicule (1996),1
From Far Away,0
The Frogs,0
"Winslow Boy, The (1998)",1
Angel and the Badman (1947),1
Slaughterhouse (1987),1
"Designated Mourner, The (1997)",1
The Undomestic Goddess,0
A Tree Grows in Brooklyn,0
Time Bandits (1981),1
Hustler White (1996),1
Moby-Dick,0
Carrie,0
The Areas of My Expertise: An Almanac of Complete World Knowledge Compiled with Instructive Annotation and Arranged in Useful Order,0
Train of Life (Train De Vie) (1998),1
Howl's Moving Castle (Howl's Moving Castle  #1),0
The Pigeon,0
Beverly Hills Cop III (1994),1
The Shape of Things to Come,0
Jawbreaker (1999),1
Bhaji on the Beach (1993),1
Manhattan (1979),1
"Brothers McMullen, The (1995)",1
Fathers' Day (1997),1
Rainforest Home Remedies: The Maya Way To Heal Your Body and Replenish Your Soul,0
Happy Birthday to You!,0
Fandango (1985),1
"Third Man, The (1949)",1
Three Plays,0
Alas  Babylon,0
Meet the Deedles (1998),1
Naked (1993),1
The Snow Spider (Snow Spider Trilogy  #1),0
Inventing the People: The Rise of Popular Sovereignty in England and America,0
The Night Remembers (Night  #1),0
"Low Life, The (1994)",1
Tree and Leaf: Includes Mythopoeia and The Homecoming of Beorhtnoth,0
The Moonstone,0
"Promise, The (La Promesse) (1996)",1
Grand Finales: A Modernist View of Plated Desserts,0
"Next Step, The (1995)",1
Miskatonic University: Dire Secrets & Campus Life (Call of Cthulhu RPG),0
Mirror Mirror,0
Gertrud The Great Of Helfta: Spiritual Exercises,0
His Dark Materials (His Dark Materials  #1-3),0
Den of Thieves (Cat Royal  #3),0
Braveheart (1995),1
"Proposition, The (1998)",1
The Rainbow People,0
Star Trek VI: The Undiscovered Country (1991),1
Lurulu,0
Blink 182,0
The King of Elfland's Daughter,0
D2: The Mighty Ducks (1994),1
"War, The (1994)",1
Adventures of the Scarlet Pimpernel,0
Bright Lights  Big Ass,0
Total Recall (1990),1
Diamonds (1999),1
"Presidio, The (1988)",1
"Rock, The (1996)",1
Spirits of the Dead (Tre Passi nel Delirio) (1968),1
The New American Splendor Anthology: From Off the Streets of Cleveland,0
Photography's Other Histories,0
La Biblia de los Critales: Guia definitiva de los cristales (Cuerpo-Mente),0
Rent-a-Kid (1995),1
Pink Floyd - The Wall (1982),1
Principle-Centered Leadership,0
Warrior (MacKenzie-Blackthorn #5),0
Leviathan,0
Hikaru no Go  Vol. 9: The Pro Test Begins (Hikaru no Go  #9),0
The Third Man & The Fallen Idol,0
Character (Karakter) (1997),1
A Virtuous Woman,0
Congo,0
The Woman in White,0
Children of the Corn (1984),1
My Best Girl (1927),1
"Boys from Brazil, The (1978)",1
Kicking and Screaming (1995),1
End of Days (1999),1
Data Structures and Algorithms in C++,0
Beyond the Post-Modern Mind: The Place of Meaning in a Global Civilization,0
Star Wars: Clone Wars  Volume 6: On the Fields of Battle,0
Raise the Red Lantern (1991),1
Office Killer (1997),1
Medea and Other Plays,0
Five Little Peppers and How They Grew (Five Little Peppers  #1),0
The Moon in the Gutter,0
Naked Empire (Sword of Truth  #8),0
Simon Birch (1998),1
The Brothers K,0
Mighty Peking Man (Hsing hsing wang) (1977),1
Wag the Dog (1997),1
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),1
La Ley del Exito,0
Maigret à New York (Maigret  #27),0
Gypsy (1962),1
Starship Troopers (1997),1
The Bourne Identity (Jason Bourne  #1),0
In the Heat of the Night (1967),1
Foundations of Clinical Research: Applications to Practice,0
Westmark (Westmark  #1),0
"Life Less Ordinary, A (1997)",1
Maximum Risk (1996),1
"Invisible Man, The (1933)",1
Marilyn Manson,0
The Players of Gilean (Dragonlance: Tales from the War of Souls  #2),0
"Hippie Revolution, The (1996)",1
Mission: Impossible 2 (2000),1
Taffin (1988),1
Meet Joe Black (1998),1
Leatherface: Texas Chainsaw Massacre III (1990),1
Your Child and Jesus: A Family Activity Book,0
Passion in the Desert (1998),1
Nighthawks (1981),1
Pocahontas (1995),1
The Celestine Prophecy: A Pocket Guide to the Nine Insights,0
Star Trek: The Motion Picture (1979),1
Desert Queen: The Extraordinary Life of Gertrude Bell: Adventurer  Adviser to Kings  Ally of Lawrence of Arabia,0
Red Sorghum (Hong Gao Liang) (1987),1
With Honors (1994),1
"Alarmist, The (1997)",1
Paulie (1998),1
Every Other Weekend (1990),1
The Pleasure of My Company,0
Star Wars:  The New Essential Guide to Characters,0
Eight Days a Week (1997),1
It's My Party (1995),1
Mythology: Timeless Tales of Gods and Heroes,0
The Portable Faulkner,0
Breathing Room (1996),1
Funny Bones (1995),1
"Toxic Avenger, Part II, The (1989)",1
Myth and Reality,0
True Blue: The Oxford Boat Race Mutiny,0
The Girl in a Swing,0
Werewolves Don't Run for President (The Adventures of the Bailey School Kids  #49),0
"Fog, The (1980)",1
Eraser (1996),1
The Complete Monty Python's Flying Circus: All the Words  Vol. 2,0
"Producers, The (1968)",1
What Dreams May Come (1998),1
Champagne (1928),1
Interlopers,0
American Gigolo (1980),1
Joe the King (1999),1
Jaws (1975),1
Keys to Tulsa (1997),1
Small Soldiers (1998),1
"Barefoot Executive, The (1971)",1
Motor Mouth (Alex Barnaby #2),0
The Trial of God: (as it was held on February 25  1649  in Shamgorod),0
The Janson Directive (Paul Janson  #1),0
"Paper Chase, The (1973)",1
Made in America (1993),1
Detroit 9000 (1973),1
Back Stage (2000),1
The Captain's Verses,0
The Time of the Ghost,0
Theogony / Works and Days,0
Dangerous Minds (1995),1
Tom Jones (1963),1
A Personal Matter,0
ヒカルの碁 23、あなたに呼びかけている,0
Rosetta (1999),1
"Boondock Saints, The (1999)",1
Where the Bluebird Sings to the Lemonade Springs,0
The Heart of the Matter,0
War and Peace,0
"Little Indian, Big City (Un indien dans la ville) (1994)",1
The Stars  Like Dust (Galactic Empire  #1),0
Sula,0
"Christmas Carol, A (1938)",1
Taxman (1999),1
Aiqing wansui (1994),1
Songs of the Humpback Whale,0
Sabrina (1954),1
Keeping the Faith (2000),1
Taxi Driver (1976),1
Bailando al rescate (Dora La Exploradora),0
The General in His Labyrinth,0
Sparrow Hawk Red,0
Alvarez Kelly (1966),1
My Little House Crafts Book: 18 Projects from Laura Ingalls Wilder's,0
Cat's Eye (1985),1
The Halloween Man,0
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",1
Melody Time (1948),1
A Young Person's Guide To Philosophy,0
"Hungarian Fairy Tale, A (1987)",1
Como agua para chocolate,0
Filth,0
Guess Who's Coming to Dinner (1967),1
Black Widow: Homecoming,0
La historia de la familia Roccamatio de Helsinki,0
Six Days Seven Nights (1998),1
"Red Violin, The (Le Violon rouge) (1998)",1
The Metamorphosis,0
Bird of Prey (1996),1
Mary Queen of Scotland and The Isles,0
The Disappointment Artist,0
See How They Run,0
Asimov's Guide to the Bible: The Old Testament,0
Loaded Weapon 1 (1993),1
"Gay Deceivers, The (1969)",1
Flubber (1997),1
Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),0
Cujo,0
Jack Frost (1998),1
Still Crazy (1998),1
The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus,0
Mystery Men (1999),1
Yakitate!! Japan  Volume 2,0
The Good Guy,0
Snow Treasure,0
Climb the Family Tree  Jesse Bear!,0
Winter Cottage,0
Complete Guide to the Bible,0
Mallrats (1995),1
"Messenger: The Story of Joan of Arc, The (1999)",1
The Boleyn Inheritance (The Plantagenet and Tudor Novels  #10),0
Night Tide (1961),1
Full Metal Jacket (1987),1
Permanent Midnight (1998),1
JLA  Vol. 1: New World Order,0
Women  Cats: The History of a Love Affair,0
El cazador de autógrafos,0
A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,0
The Savage Wars Of Peace: Soldiers' Voices 1945-1989,0
Price of Glory (2000),1
My Giant (1998),1
House Arrest (1996),1
It's a Wonderful Life (1946),1
Oxygen (1999),1
Baby Geniuses (1999),1
Land and Freedom (Tierra y libertad) (1995),1
"Grandfather, The (El Abuelo) (1998)",1
The Chomsky Reader,0
Love in the Afternoon (1957),1
Pushing Hands (1992),1
Shall We Dance? (1937),1
The Feynman Lectures on Physics Vols 5-6,0
Starshield: Sentinels,0
Bleach―ブリーチ― 1 [Burīchi 1] (Bleach  #1),0
Penny Serenade (1941),1
Ballad of the Whiskey Robber: A True Story of Bank Heists  Ice Hockey  Transylvanian Pelt Smuggling  Moonlighting Detectives  and Broken Hearts,0
Carrie / 'Salem's Lot / The Shining,0
Balto (1995),1
Talking About Sex (1994),1
A House Divided (House of Earth  #3),0
The Acme Novelty Library,0
The Christmas Story,0
Beauty and Sadness,0
Bullet Proof (Eliot Ness  #3),0
Bride of Frankenstein (1935),1
"I, Worst of All (Yo, la peor de todas) (1990)",1
Guns  Germs and Steel: The Fates of Human Societies,0
Embracing Love  Vol. 5,0
Lucas (1986),1
Surviving Justice: America's Wrongfully Convicted and Exonerated,0
The Minority Report (Collected Stories of Philip K. Dick),0
Purple Noon (1960),1
"Deep End of the Ocean, The (1999)",1
Miracle on the 17th Green (Travis McKinley  #1),0
The Belly of Paris (Les Rougon-Macquart  #3),0
Phaedo,0
The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,0
Astronomy: A Beginner's Guide to the Universe,0
North Dallas Forty (1979),1
Science Notebooks: Writing about Inquiry,0
Frequency (2000),1
Elven Star (The Death Gate Cycle  #2),0
Thumbelina (1994),1
Simon Sez (1999),1
The Rediscovery of North America,0
Spanking the Monkey (1994),1
Private Parts (1997),1
Son of a Witch (The Wicked Years  #2),0
A Whole Lotta Love,0
Bizarre World,0
The Crazyladies of Pearl Street,0
Hana-bi (1997),1
Perfect Blue (1997),1
Ulee's Gold (1997),1
The Crossing,0
Once Were Warriors (1994),1
Hush (1998),1
The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,0
犬夜叉 28,0
In a Dry Season (Inspector Banks  #10),0
Omerta,0
The Fortunate Pilgrim,0
The Talking Horse and the Sad Girl and the Village Under the Sea: Poems,0
The Best American Essays 2006,0
Afterglow (1997),1
Deception Point,0
Jingle All the Way (1996),1
Tigerland (2000),1
With Friends Like These... (1998),1
Heat Wave: A Social Autopsy of Disaster in Chicago,0
Superman: Back in Action,0
Fatal Beauty (1987),1
Chronicles: Volume One,0
Tales from the Darkside: The Movie (1990),1
Killing Rage: Ending Racism,0
The Castle of Llyr (The Chronicles of Prydain  #3),0
The Game: Penetrating the Secret Society of Pickup Artists,0
Billy Budd  Sailor and Other Uncompleted Writings,0
Stanley & Iris (1990),1
The Western Canon: The Books and School of the Ages,0
Excess Baggage (1997),1
The Portable Thoreau,0
Pictorial Encyclopedia of Trades and Industry  Vol 1,0
Road Trip (2000),1
Sleepy Hollow (1999),1
Choices (1981),1
American Pimp (1999),1
8 1/2 (1963),1
The Cat Who Knew Shakespeare (Cat Who...  #7),0
Young Frankenstein (1974),1
"Cruise, The (1998)",1
Dangerous Liaisons (1988),1
Beowulf: A New Telling,0
Happiness Is in the Field (1995),1
Drat! We're Rats! (Scrambled Legs  #1),0
"Sticky Fingers of Time, The (1997)",1
The Gambler,0
Steal This Movie! (2000),1
"Mummy, The (1999)",1
Bite Me!: An Unofficial Guide to the World of Buffy the Vampire Slayer,0
"Program, The (1993)",1
For All Time (Time Travelers  #4),0
Stranger Than Paradise (1984),1
Quatermass and the Pit (1967),1
Agnes Browne (1999),1
"Uninvited Guest, An (2000)",1
Marilyn Manson: The Lonely Watchman,0
Citizen Girl,0
Fables & Reflections (The Sandman  #6),0
Cobb (1994),1
Witch Grass,0
Savannah Blues (Weezie and Bebe Mysteries  #1),0
All the King's Men: Three Stage Versions,0
"Out-of-Towners, The (1999)",1
Get Bruce (1999),1
Trial Run,0
"Howling, The (1980)",1
Gemma Alone (Gemma  #3),0
Picture Bride (1995),1
Dragondrums (Harper Hall  #3),0
The Complete Works: The Revised Oxford Translation  Vol. 1,0
The Evidence-Based Social Work Skills Book,0
Manöver um Feuerland (The Far Side of the World) (Aubrey/Maturin Book 10),0
Beyond Seduction (Beyond Duet  #2),0
Aristophanes and His Theatre of the Absurd,0
"Hustler, The (1961)",1
"Prince of Tides, The (1991)",1
Eat Drink Man Woman (1994),1
Nico Icon (1995),1
After the Plague: and Other Stories,0
Let the Hurricane Roar,0
Hegel: A Very Short Introduction,0
Oliver Twist,0
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",1
Built To Last: Building America's Amazing Bridges  Dams  Tunnels  and Skyscrapers (Built to Last),0
Burning Bright,0
The Feynman Lectures on Physics Vols 3-4,0
Children of the Alley,0
Eve's Bayou (1997),1
Hellraiser: Bloodline (1996),1
The Feynman Lectures on Physics Vol 2,0
Charm's Incidents (1996),1
Love at First Bite (Dark-Hunter #6.5; Wild Wulfs of London #2.5; Companion #3.5),0
"Legend of 1900, The (Leggenda del pianista sull'oceano) (1998)",1
The Decline and Fall of the Roman Empire,0
One Hand Clapping,0
Madame Je-Sais-Tout,0
Unstrung Heroes (1995),1
"Fly II, The (1989)",1
Prick Up Your Ears (1987),1
The Bradbury Chronicles: The Life of Ray Bradbury,0
"Spitfire Grill, The (1996)",1
An Instance of the Fingerpost,0
Unearthly Neighbors,0
"Bridge on the River Kwai, The (1957)",1
Lucie Babbidge's House,0
Phantoms (1998),1
Dispatches from the Edge: A Memoir of War  Disasters  and Survival,0
The Consolations of Philosophy,0
March Upcountry (Empire of Man  #1),0
Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),1
Tolkien and the Great War: The Threshold of Middle-earth,0
Amsterdam,0
Christmas in Noisy Village,0
The Diary of Anaïs Nin  Vol. 3: 1939-1944,0
Scrooged (1988),1
Inferno (1980),1
The Ecological Approach to Visual Perception,0
Augustine,0
Agnes of God (1985),1
God Bless You  Dr. Kevorkian,0
